ID,cluster_kmeans_features,cluster_hierarchical,cluster_kmeans_ts,cluster_dbscan
4735,1,1,0,0
4744,0,0,1,0
4754,2,0,1,0
4756,2,0,1,0
4758,2,0,1,0
4780,1,1,1,-1
4785,2,0,0,0
4814,2,0,1,0
4816,2,0,1,0
4825,2,0,1,0
4847,2,1,0,0
4855,1,1,0,0
4858,1,1,0,0
4918,1,1,0,0
4953,2,0,0,0
4969,2,0,1,0
4989,2,0,0,0
5011,1,1,0,0
5027,2,0,1,0
5029,2,0,1,0
5033,1,1,0,0
5036,2,0,1,0
5061,2,0,1,0
5062,2,1,1,0
5119,2,0,1,0
5168,2,0,1,0
5173,2,0,0,0
5202,2,0,0,0
5205,2,0,0,0
5228,2,0,1,0
5238,2,1,1,0
5243,2,0,0,0
5259,2,0,0,0
5270,1,1,1,0
5297,2,1,0,0
5331,2,0,0,0
5343,2,0,1,0
5352,1,0,1,0
5353,2,0,1,0
5373,1,1,0,0
5424,2,1,1,0
5438,0,2,1,-1
5451,2,0,0,0
5465,2,0,1,0
5472,1,1,0,0
5489,1,1,0,0
5494,2,0,1,0
5541,2,0,0,0
5544,2,0,1,0
5546,2,0,1,0
5582,2,0,1,0
5584,1,0,1,0
5587,2,0,1,0
5618,1,1,0,0
5629,2,0,0,0
5651,1,1,0,0
5655,1,1,1,0
5660,2,0,0,0
5685,2,0,1,0
5696,2,0,1,0
5717,2,0,1,0
5778,2,0,0,0
5799,2,0,1,0
5804,2,0,1,0
5805,1,1,0,0
5820,2,0,1,0
5846,0,2,1,-1
5873,2,0,0,0
5874,2,0,1,0
5880,2,0,1,0
5926,2,0,1,0
5946,2,0,1,0
5965,2,0,1,0
5976,2,0,1,0
6009,2,0,1,0
6017,2,0,1,0
6043,2,0,0,0
6058,1,1,0,0
6063,2,0,1,0
6097,2,0,1,0
6127,1,1,0,0
6130,1,1,0,0
6153,2,0,1,0
6158,2,0,1,0
6172,0,2,1,0
6215,2,0,0,0
6217,1,1,1,0
6220,1,1,0,0
6227,2,0,1,0
6232,2,0,0,0
6233,2,0,1,0
6244,2,0,0,0
6246,2,0,0,0
6284,2,0,0,0
6285,2,0,1,0
6289,2,0,1,0
6339,2,0,1,0
6353,2,0,0,0
6354,2,0,0,0
6391,1,1,0,0
6408,1,1,0,0
6410,2,0,0,0
6447,2,0,0,0
6457,2,0,1,0
6461,2,0,0,0
6463,2,0,1,0
6475,2,0,1,0
6481,1,1,0,0
6504,2,0,1,0
6524,2,0,1,0
6525,2,0,1,0
6527,2,0,0,0
6559,2,1,0,0
6592,1,1,0,0
6594,2,0,1,0
6623,2,0,1,0
6640,2,0,1,0
6641,2,0,1,0
6656,2,1,0,0
6665,2,0,1,0
6670,2,1,0,0
6718,2,0,0,0
6773,2,0,1,0
6831,2,0,1,0
6837,2,0,1,0
6848,2,0,1,0
6860,1,1,0,0
6873,1,1,0,0
6909,1,1,0,0
6911,2,0,1,0
6920,1,1,1,0
6921,2,0,1,0
6934,2,1,1,0
6955,2,0,0,0
6988,2,0,0,0
7005,1,1,0,-1
7047,2,0,1,0
7092,2,0,1,0
7095,2,0,1,0
7165,1,1,0,0
7168,1,1,0,0
7181,2,0,0,0
7190,0,0,1,0
7213,2,0,0,0
7222,2,0,1,0
7241,2,0,1,0
7285,2,0,0,0
7289,2,1,0,0
7296,2,0,1,0
7297,1,1,0,0
7322,2,1,1,0
7324,2,0,1,0
7334,2,0,1,0
7363,1,1,0,0
7371,2,0,0,0
7373,2,0,1,0
7390,2,0,1,0
7420,1,1,0,0
7433,0,0,1,0
7436,2,0,1,0
7460,1,0,0,0
7465,1,0,1,0
7471,2,0,1,0
7478,2,0,0,0
7523,2,0,0,0
7537,2,0,0,0
7558,2,0,1,0
7581,1,1,0,0
7588,2,0,1,0
7599,2,0,1,0
7603,2,0,1,0
7613,0,0,1,0
7665,1,1,0,0
7680,1,1,0,0
7690,2,1,0,0
7698,1,1,0,0
7730,2,0,0,0
7747,2,0,1,0
7753,2,0,1,0
7788,2,0,1,0
7799,2,0,1,0
7835,2,0,1,0
7862,2,0,1,0
7919,2,1,1,0
7941,1,1,1,0
7945,2,1,1,0
7969,2,0,0,0
7979,1,1,0,0
7982,2,1,0,0
7987,2,0,1,0
7989,2,1,1,0
8007,2,0,0,0
8008,2,0,0,0
8022,2,0,1,0
8057,2,0,0,0
8079,1,1,0,0
8080,2,0,1,0
8081,2,0,1,0
8099,2,0,1,0
8104,2,0,1,0
8112,2,1,1,0
8117,2,0,0,0
8122,2,0,0,0
8140,2,1,1,0
8175,2,0,0,0
8208,2,0,1,0
8224,2,0,0,0
8231,2,0,1,0
8247,2,0,1,0
8266,2,0,1,0
8278,2,0,1,0
8280,1,1,0,0
8288,2,0,0,0
8324,1,1,0,0
8344,2,0,0,0
8345,1,1,1,0
8382,0,2,1,0
8410,0,0,1,0
8415,2,0,1,0
8417,2,1,0,0
8427,2,0,0,0
8447,2,0,1,0
8473,2,0,1,0
8488,2,0,1,0
8513,2,0,1,0
8518,1,1,1,0
8521,2,0,0,0
8531,2,0,1,0
8543,2,0,1,0
8562,2,0,0,0
8597,2,0,0,0
8605,1,1,0,0
8672,2,0,0,0
8696,1,1,0,0
8729,2,0,1,0
